Yemek Adı,Mutfağı,Süresi,Malzemeler,Yapılış
Begendili Kebap,Türk,90dk,"600 gr Kuzu kusbasi 
110 gr margarin 
100 gr Sogan 
1 çorba kasigi Domates salçasi 
1 tatli kasigi Tuz 
Baharat torbasi 
2.5 bardak Su 
1 Kg Patlican 
80gr Un 
1 lt Süt 
80 gr Kaser peyniri rendesi 
1/2 adet Limon","Ön hazirlik olarak sogani ayiklayip, küçük küpler halinde dograyin. 
Yagi, orta boy bir tencerede, orta ateste eritin. Yag kizmaya baslayinca 
kusbasi dogranmis kuzu etini ilave edin. 
Atesi açin. Etleri bir kevgirle ara sira karistirarak, 5-6 dakika, 
pembelesinceye kadar sote edin. 
Sogani tenceredeki etlere ilave edin. Yine ara sira karistirarak, birkaç 
dakika daha pisirin. 
Salçayi katin. Ara sira karistirmaya devam ederek, birkaç dakika da 
salçayi kavurun. Tuzunu serpin. Baharat torbasini ilave edin.  
Atesi kisin. Tencerenin üzerine bir tas kapayin, 1 bardak sicak suyu, tasin 
kenarindan dökün. Tencerenin kapagini sikica örtün. Kebabi agir ateste 8-
10 dakika pisirin.  
Tenceredeki malzeme suyunu çekince, kalan 1 1/2 bardak sicak suyu 
koyup, yine agir ateste, yaklasik 20 dakika, etler yumusayincaya kadar 
pisirin. Bu süre içinde, ara sira tencerenin kapagini açip, etlerin pisip 
pismedigini kontrol edin. Gerekirse pisirme süresini uzatin.  
Bu arada kebap suyunu çekerse, bir miktar sicak su ilave edebilirsiniz. 
Kebabin, tencereyi atesten aldiginizda, yaklasik 1 bardak salçasi olmalidir.  
Kebap piserken bir yandan begendiyi hazirlayin. Bunun için büyükçe bir 
tencerenin içine 1/2 limonun suyunu sikin, 1 tatli kasigi tuz ilave edin. 
Patlicanlari tercihan kömür atesinde, bu mümkün degilse kizgin yagda ya 

da firinda, gerektiginde alt üst ederek, yumusayip yer yer su sizdirmcaya 
kadar pisirin. Saplarindan kesip, tuz ve limonun bulundugu tencereye 
koyun. Üzerlerini örtecek kadar su ilave edip, sogumaya birakin.  
Sogumus patlicanlarin kabuklarini keskin bir biçakla soyup, atin. 
Patlicanlarin etli kisimlarini bir baska kaba aktarin.  
Sütü bir tasim kaynatip, bir kenara alin. Yagin kalan 80 gramini orta boy 
bir tencerede, orta ateste isitin. Yag kizmaya baslayinca ununu ilave edin. 
Meyaneyi, tahta bir kasikla sik sik karistirarak pisirin. Un sararmaya 
baslayinca birkaç dakika daha pisirip, tencereyi atesten alin. Bir kenarda 
ilinmaya birakin.  
Meyane ilininca tencereyi tekrar orta atese oturtun. Sicak sütü, tahta bir 
spatulayla sürekli karistirarak, azar azar meyaneye yedirin. Çok agir 
ateste 10 dakika pisirin.  
Patlicanlari iyice sikip, çok ince kiyin. Patlicanlari ates üzerindeki 
meyaneye ilave edin. Yumurta teliyle karistirarak 5-6 dakika daha pisirin. 
Kaser peyniri rendesini ilave edin. Karistirin. Begendiyi atesten alin."
Beğendili Patlıcan Kebabı,Türk,60dk,"2 Adet Bostan Patlicani (enlemesine dogranmis)  
2 Adet Kemer Patlicani (közlenmis)  
2 Adet Sogan  
2 Yemek Kasigi Tereyagi  
Yarim kilo biçak kiymasi  
2 Adet Rende Domates ve Salça  
Kizartmak için : Yeteri kadar sivi yag  
 
Besamel sos için :  
1 Yemek Kasigi Un 
1 Çay Bardagi Süt","Kemer patlicanlari ateste közleyip soguk suya atin. Kabuklarini çikarip 
üzerine 1-2 damla ljmon sikarak ekmek tahtasinda biçak ile kiyin.  
Besamel sos hazirlayin. Içerisine ilave edip karistirarak bir kenarda 
bekletin. Bir kapta sogan ile kiymayi kavurun. Içerisine salça, domates, 
dereotu, tuz ve biber ilave ederek tatlandirin.  
Kizartmis oldugunuz patlicanlari kagit havlu üzerinde yagini çekinceye 
kadar birakin. Patlicanlari isiya dayanikli servis tabagina alin. Üzerine 
kiymayi ve basamel sosu ekleyin. Firinda üst izgarada 5 dakika kadar 
kizartip servise sunun.  

 
 
 
 
  - 329 
  - 330 
  - 331"
Eksili Pirasa,Türk,40dk,"1 Kg Pirasa  
4 Adet Sogan  
4 Adet Domates  
½ Su Bardagi Zeytinyagi  
½ Demet Maydanoz  
1 Tatli Kasigi Tuz  
1 Adet Limon Suyu  
1 Tatli Kasigi Salça","Pirasalari iyice yikayalim, dis kabuklarini soyalim. Bas kisimlarini keselim. 
5-6 cm uzunlugunda parçalar halinde dograyalim. Her parçayi ince ince 
kiyalim. Kaynar suya atalim. 15 dakika haslayalim.  
Baska bir tencereye soganlari halka halka dograyalim. Yarim su bardagi 
zeytinyaginda pembelestirelim. Findik büyüklügünde dogradigimiz 
domatesleri, salçayi ve tuzu soganlara ilave edelim.  
Pirasalari hasladiktan sonra soguk sudan geçirmeden sogan ve 
domateslere ekleyelim. Son olarak tencereye 1 çay bardagi su ilave 
edelim. 15 dakika kisik ateste kapagi kapali olarak pisirelim. Atesten 
indirirken üzerine limon suyu dökelim. Üzerine ince ince kiyilmis 
maydanoz serptikten sonra servis yapalim."
Endülüs Usulü Kuskonmaz,Süre: 40 dk,40 dk,"1/2 kg Taze veya Konserve Kuskonmaz 
1 Dilim Bayat Ekmek 
1/2 Demet Maydanoz 
2 Dis Sarmisak 

1 Kirmizi Dolmalik Biber 
1/2 Çay Bardagi Zeytinyagi 
1 Yemek Kasigi Üzüm Sirkesi","Kuskonmazlarin saplarini ucundaki mor renkli kismin bittigi yerden 
baslayarak biçakla kaziyip temizleyin. Mor körpe uçlar suyun disinda 
kalacak sekilde su dolu bir tencereye yerlestirin. Çok az tuz ekleyip 20-25 
dakika haslayin. Soguk suyun içinde bekletin.  
Tencerede zeytinyagini isitin. Ince kiyilmis sarimsaklari zeytinyaginda 
kizartin. Ufalanmis ekmek içi ve kiyilmis maydanozu ekleyip kavurun. 
Ekmek içinin rengi sararinca sirkeyi ekleyip bir tasim kaynatin.  
Hazirladiginiz karisimi ince delikli bir süzgeçten geçirin ve tekrar tavaya 
alin. Haslanmis kuskonmazlari ilave edin. Tuz, karabiber ve ince kiyilmis 
kirmizi dolmalik biberi ekleyin. 5 dakika pisirip atesten alin. Soguyunca 
servis yapin."
Enginar Köftesi,Türk,30dk,"6 adet enginar  
3 adet yumurta  
50 gr. kasar peyniri  
1 demet maydanoz  
1 su bardagi un  
1 su bardagi galeta unu  
1 adet limon  
1 adet yumurta, rendelenmis  
1 su bardagi zeytinyagi  
 
Besamel sos için:  
2.5 su bardagi süt  
2 çorba kasigi tereyagi  
1.5 çay bardagi un","Enginarlari soyup limonlu suda bekletin. 4 su bardagi su ve 1 çorba kasigi 
tuzu kaynatin. Enginarlari kaynar suda yumusayana kadar haslayin, 
süzün. Ezip, püre haline getirin.  
Besamel sos için tereyagini eritin. Unu ekleyip 3 dakika kavurun. Sütü 
ekleyip karistirin. Besamel sosa, enginar püresi, kasar peyniri, tuz, 
karabiberi ve maydanozu ekleyip karistirin.  

Karisimi yaglanmis tepsiye 1 cm kalinliginda yayip sogumaya birakin. 
Istediginiz sekilde köfteler hazirlayin.  
Kalan yumurtalari hafifçe çirpin. Enginar köftelerini sirasiyla una, 
yumurtaya ve galeta ununa bulayip, zeytinyaginda kizartip, servis yapin."
Etli Sebze Yemegi,Türk,40 dk,"1.5 Çorba Kasigi Margarin  
1/2 Kg Kusbasi Et  
1 Adet Sogan  
2 Adet Küçük Dogranmis Domates  
3 Adet Sivribiber  
1 Adet Patates  
1 Adet Patlican  
1 Adet Kabak  
6 Adet Brüksel Lahanasi  
Tuz , Karabiber , Maydanoz","Ön hazirlik olarak brüksel lahanasini az suda haslayin.   
 
Patlican, kabak, biber ve patatesi küçük dograyin. Birbuçuk çorba kasigi 
margarini tencereye alip eritin. Etleri yagda kavurun. Etler suyunu 
çekince, yemeklik dogranmis sogan ve küp dogranmis domatesi ekleyin. 
1-2 kez çevirin.   
 
Sonra dogranmis sebzeleri tencereye ekleyip, sote edin. En son brüksel 
lahanasini ilave edin. Tuz ve karabiberini katin. Sebzeler iyice pisince, 
tencereyi ocaktan alin. Ince kiyilmis maydanozla süsleyip servis yapin."
Fasulye Kavurmasi,Türk,25dk,"1/2 Kg Taze Fasulye  
2 Adet Kuru Sogan  
2 Adet Yumurta  

2 Adet Domates  
1 Adet Havuç  
3 Yemek kasigi Tereyagi","Fasulyelerin kilciklarini ayiklayip yikadiktan sonra süzgece alin. Suyu 
süzülünce 1 cm genisliginde kiyin. Kaynar tuzlu suda diri kalacak sekilde 
haslayip süzün.  
Tereyagini tencerede eritip küp seklinde dogranmis sogani ilave ederek 
kavurun. Havuç ve domatesi rendeleyip kavrulmakta olan sogana ekleyin. 
Karisimi bir süre kavurun ve domatesler suyunu çekince yumurtalari ilave 
edip karistirin.  
Karisima haslanmis fasulyeleri ekleyip tuz ve pulbiber serperek kisik ateste 
suyunu çekinceye kadar pisirin. Servis tabagina alip sicak olarak servis 
yapin."
Fasulyeli Kis Türlüsü,Türk,30dk,"250 gr Kuru Fasulye 
280 gr Misir 
3 Havuç 
1 Sap Kereviz 
1 Sogan 
1 Süs Biberi 
2 Çorba Kasigi Margarin 
150 gr Sucuk 
Bir Miktar Tabasco 
Tuz 
1 Çorba Kasigi Kekik 
2 Su Bardagi Et Suyu 
1/2 Demet Maydanoz 
Karabiber","Kuru fasulye kullaniyorsaniz 1 gece önceden suda bekletin veya düdüklü 
tencerede pisirin.  
Havuç ve kerevizi yikayip ayiklayin. Havucu verev dilimler halinde, kerevizi 
ince seritler halinde dograyin. Sogani soyup küçük küpler halinde 
dograyin. Süs biberini yikayip çekirdeklerini ayikladiktan sonra ince seritler 
halinde dograyin.  

Margarini bir tencerede eritip sogani kavurun. Havuç ve kerevizi ilave edip 
2 dakika kadar pisirin.  
Sucugu ince dilimler halinde dograyin. Sucuk, fasulye, misir ve biberi 
tencereye ilave edin. Tabasco ve kekikle tatlandirin. Yemege et suyunu 
ekleyip kisik ateste, tencerenin kapagini kapatarak 15 dakika kadar pisirin.  
Maydanozu yikayip yapraklarini ayiklayin. Türlüyü tuz, karabiber ve kirmizi 
toz biberle tatlandirip maydanozla süsledikten sonra servis yapin. 
Dilerseniz türlüye kekik de ekleyebilirsiniz."
Besamel Soslu Kabak,Türk,40 dk,"1 Kg Kabak  
200 gr Yagsiz Kiyma  
1 Adet Sogan  
3 Çorba Kasigi Margarin  
2 Adet Domates  
2 Dis Sarmisak  
3 Dal Dereotu  
Tuz, Karabiber  

 
Besamel Sos Malzemesi  
1 Kahve Fincani Un  
2 Çorba Kasigi Tereyagi  
1.5 Su Bardagi Süt  
1 Kahve Fincani Kasar Peyniri Rendesi  
Tuz","Soganlari ince dograyin. Margarini tavada eritip soganlari pembelesinceye 
kadar kavurun. Kiymayi ilave edin. Tuz ve karabiber serpip kiyma suyunu 
çekinceye kadar pisirin.  
Domateslerin kabuklarini soyup küçük küpler halinde sograyin. Ince 
kiyilmis sarmisaklarla birlikte kiymaya ilave edin. Domatesler suyunu 
çekinceye kadar pisirin.  
Kabaklari temizleyip dörde bölün. Kaynar tuzlu suda haslayip süzün. 
Haslanmis kabaklari firin kabina yerlestirin. Üzerine hazirladiginiz kiymali 
harci yayin.  
Baska bir kapta tereyagini eritip unu kavurun. Sütü azar azar ilave edip 
karistirarak pisirin. Tuzunu ekleyin. Muhallebi kivamina gelince atesten 
alin. Sosu kiymali harcin üzerine bosaltin. Rendelenmis kasar peyniri 
serpin.  

Önceden isitilmis 200 derece firinda kizarincaya kadar 15-20 dak. Pisirin. 
Dereotuyla süsleyip sicak servis yapin."
Firinda Kabak,Türk,20dk,"3 Adet Kabak  
2 Çorba Kasigi Su  
1 Su Bardagi Küp Küp Dogranmis Domates  
1/4 Su Bardagi Rendelenmis Kasar Peyniri  
1 Su Bardagi Dogranmis Jambon  
1 Çorba Kasigi Kiyilmis Dereotu","Kabagi halka halka veya kibrit çöpü gibi dograyin. Su ile birlikte 20 cm 
uzunlugunda bir kaba koyun. Üzerini kapatin. Mikrodalga firinin yüksek 
derecesinde 6 dak. pisirin.   

Küp kesilmis domatesleri biçakla iyice küçültün. Domatesleri sicak kabagin 
üzerine döküp, karistirin. Üzerine rendelenmis kasar peyniri serpistirin. 
Jambon ve kiyilmis maydanozu da ilave edip, kapagini kapatin. Yüksek 
derecede 2 dak pisirip servis yapin.  
Not: Eger mikrodalga firininiz yoksa yumusayan kabaklari bir firin kabina 
alin.Ayni islemleri yapin. Kasar peyniri eriyene dek pisirin ve servis 
tabagina alin."
Firinda Lahana,Süre: 60 dk,60 dk,"4 Yumurta 
3 Domates  
140 gr Misir (hazir ürün, konserve) 
200 gr Irmik  
200 gr Süt Kremasi 
Tuz, Karabiber  
1 Kirmizi Dolmalik Biber  
100 gr Biberli Salam 

1 lt Süt  
600 gr Lahana  
5 Çay Bardagi Rendelenmis Kasar Peyniri 
Bir Miktar Yag","Lahanayi çok ince seritler hainde dograyin. Lahanayi tuzlu suda 20 dakika 
kadar haslayip suyunu süzün. Sütü 1 tatli kasigi tuzla kaynatin. Sürekli 
karistirarak irmigi ilave edin. 5-10 dakika kadar kaynatin. 2 yumurtanin 
aklarini ve sarilarini ayirin. Yumurta aklarini çirpin. Irmikli karisima önce 
yumurta sarilarini ardindan misiri ilave edin, Yumurta aklarini ekleyin,  
Domateslerin kabuklarini soyup çekirdeklerini ayikladiktan sonra küçük 
küpler halinde dograyin. Biberin çekirdeklerini ayikayip verev olarak 
dilimleyin. Firini 200 derecede önceden isitin.  
Salami seritler halinde dograyin, Süt kremasini kalan yumurtalana 
karistirin. Lahana, domates, biber, selam ve kasar peynininin üçte ikisini 
ekleyin.  
Firin kabini yaglayin. Irmikli karisimi kabin içine bosaltin. Sebzeli karisimi 
üzerine dökün. Kalan peyniri üzerine serpin. Kabi firina verip 40 dakika 
kadar pisirin. Taze sogani ince halkalar halinde dograyin. Yemegin üzerine 
serpip servis yapin."
Firinda Peynirli Kabak,Türk,30dk,"4 Adet Kabak  
150 gr Beyaz Peynir  
1 Adet Yumurta  
1 Kahve Fincani Rendelenmis Kasar Peyniri  
2 Yemek Kasigi Zeytinyagi  
½ Demet Dereotu  
Kirmizibiber,  Tuz","Kabaklari bütün olarak tuzlu su içinde diri kalacak sekilde haslayin. Ve 
süzün. Beyaz peynir, ince kiyilmis dereotu ve yumurtayi ezerek püre 
haline getirin.  
 
Kabaklari uzunlamasina bölüp firin kalibina yayin. Ortalarini küçük bir 
kasik yardimiyle bosaltin. Çukur kisimlara hazirladiginiz peynirli harci 
doldurun. Üzerini kirmizibiberle süsleyin. Zeytinyagini azar azar üzerinde 

gezdirin. Önceden kizdirilmis firinda peynir eriyene kadar 10-12 dakika 
kizartin. Sicak veya ilik olarak servis yapin."
Firinda Peynirli Lahana,Türk,45 dk,"1 Orta Boy Lahana  
2 Sogan  
2 Çorba Kasigi Margarin  
200 gr Kiyma  
1 Su Bardagi Su  
1 Çorba Kasigi Domates Salçasi  
4 Yumurta  
1 Su Bardagi Süt  
1.5 Su Bardagi Rendelenmis Kasar Peyniri  
1 Çay Kasigi Kirmizi Pulbiber  
Tuz","1)  Lahanayi temizleyip yapraklarini tek tek yikayin. Süzüp parmak 
kalinliginda seritler halinde dograyin. Soganlari halka halka dilimleyip 
margarinde pembelestirin. Kiymayi ekleyip biraz kavurduktan sonra bir su 
bardagi suyu ilave edip karistirin. Kiymali sos koyulasmaya baslayinca 
kirmizi pulbiber serpin ve atesten alin. Salçayi biraz su ile ezerek 
kavrulmus kiymaya ekleyip karistirin.  
2) Firin kalibini yaglayip lahanalari yayin. Üzerine kiymali karisimi döseyin. 
Önceden isitilmis 150 dereceye ayarli firina verip lahanalar yumusayincaya 
kadar pisirin.  
3) Yumurtalari genis bir kasede çirpin ve süt ekleyip iyice karistirin. 
Lahanayi firindan çikarip hazirladiginiz sosu üzerine gezdirin.  
4) Rendelenmis kasar peynirini kalibin hertarafina esit olarak serpin. 150 
dereceye ayarli firinda 30 dakika daha pisirin. Dilimileyip sicak olarak 
servis yapin."
Firinda Pirasali Pasta,Türk,45 dk,"1/2 Kg Pirasa  
1 Çorba Kasigi Margarin  
1 Adet Sogan  
250 gr Kiyma  
2 Su Bardagi Su  
1 Çorba Kasigi Salça  
1 Su Bardagi Rendelenmis Kasar Peyniri  
3 Adet Yumurta  
1 Su Bardagi Süt","Pirasayi ince ince kiyin. Bir yandan da 1 çorba kasigi margarini tencerede 
eritin. Ince kiyilmis sogani kavurun. Kiymayi ilave edin. Suyunu birakip, 
çekene kadar kavurmaya devam edin.   
Tencereye pirasalari da ekleyin. Tuz ve karabiberini katin. Tencerenin 
kapagini kapayip, kendi suyunda pisirin. Daha sonra pirasayi tepsiye 
yayin. 2 su bardagi su ve 1 çorba kasigi salçayi karistirin. Pirasanin 
üzerine gezdirin.  
Önceden isitilmis 200 dereceli firinda suyunu çekene dek pisirin. Tepsiyi 
firindan alip, ilitin. Ayri bir kapta yumurta, 1 su bardagi süt ve 1 su 
bardagi rendelenmis kasar peynirini çirpin. Pirasaya ekleyin. Tekrar firina 
verin. Üzeri kizarana dek pisirin."
Firinda Salamli Misir,Süre: 30dk,30dk,"2 Kutu Misir Konservesi (500 gr)  
4-5 Dilim Salam  
2 Dis Sarmisak  
3 Çorba Kasigi Tereyagi  
4 Çorba Kasigi Tepeleme Un  
2 Su Bardagi Süt  
1/2 Kutu Krema  
Üzerine Serpmek Için Galeta Unu  
Tuz, Karabiber, Muskat","Misirlari süzgece alip suyunu süzün. Salamlari uzunlamasina ince seritler 
halinde dograyin.  
Derin bir tencerede tereyagini eritip dövülmüs sarmisagi 1-2 dak. çevirin. 
Unu ekleyip az kavurun. Karisima sütü ilave edin ve pütür pütür olmamasi 

için kuvvetle çirpin. Kaynamaya yakin kremayi ekleyin. Karisim 
kaynayinca tuz, karabiber ve muskati ilave ederek atesten indirin.  
Yaglanmis firin kabina hazirladiginiz sütlü sosten bir miktar dökün. Üzerine 
misirlarin yarisini yayip salam dilimlerini yerlestirin. Salamlarin üzerine bir 
miktar sos döküp kalan misiri yayin. Malzemenin üzerini sosla kaplayin.   
En üste galeta unu serpip findik büyüklügünde tereyagi toplari yerlestirin. 
Firinda pisirip üzerini izgarada kizartin. Sicak servis yapin."
Firinda Yumurtali Ispanak,Türk,30dk,"500 gr Ispanak  
4 Adet Yumurta  
1 Adet Sogan  
200 gr Pastirma veya 1 Çorba Kasigi Çemen  
250 gr Kiyma  
1/2 Su Bardagi Kasar Peyniri Rendesi  
1/2 Su Bardagi Sivi Yag","Ispanaklari ayiklayip yikayalim ve süzelim. Ispanaklari hiç su ilave 
etmeden tencereye alip kendi suyu ile hafifçe yumusayana dek 3-4 dak. 
haslayalim. Yagi tavaya alalim. Soganlari piyazlik dograyalim ve 
pembelestirelim.  
Kiymayi ilave edip, rengi dönünceye kadar kavuralim. Pastirmayi veya bir 
kasik çemeni tavaya koyalim. Ispanaklari dograyip, onu da tavaya alalim. 
Arasira karistirarak kavurmaya devam edelim. 3-5 dak. daha pisirelim.  
Yemegi küçük bir tepsiye alalim. Kasikla düzeltelim. Tepsideki ispanaklarin 
içine dört oyuk açip, yumurtalari kiralim. Tuzunu, karabiberini ekleyip, 
firina verelim. Yumurtalar pisene dek firinda tutalim. Çikartip, sicak sicak 
servis yapalim. Eger kasar ilave edecek olursaniz, firina vermeden önce 
yumurtalarin üzerine serpistirebilirsiniz.  
Asçinin Önerisi: Sadece çemen ve 250 gr kiyma kullanarak da 
yapabilirsiniz. Ancak kiyma kullanmazsaniz da yemege gerçekten güzel bir 
lezzet veren içindeki pastirma ya da çemendir. Bunu ihmal etmeyin. 
Ispanak sevmeyen çocuklariniz bu yemegi yedikten sonra ispanagi zevkle 
yiyecekler. Ayrica bu yemegi firin yerine tencerede de pisirmeniz de 
mümkün"
Firin Mücver,Türk,30dk,"2 Adet Kabak  
2 Çorba Kasigi Kasar Peyniri  
1 Adet Yumurta  
2 Silme Çorba Kasigi Un  
4-5 Dal Dereotu","Rendelenmis kabaga peynir rendesi, un, yumurta, dereotu, tuz ve 
karabiber ekleyerek karistirin. Elde ettiginiz karisimi, önceden siviyag ile 
yaglanmis isiya dayanikli cam bir kaba dökün.  
230 derece isitilmis firinda üzeri hafif kizarincaya kadar pisirin. 
Not: Firin mücveri dilerseniz yogurtla da sunabilirsiniz."
Gelin Fasulyesi,Türk,60 dk,"1 Yemek Tabagi Dolusu Kurutulmus Taze Fasulye  
2 Çorba Kasigi Margarin  
2 Adet Sogan  
200 gr Kusbasi Kuzu Eti  
2 Adet Patates  
1/2 Çay Bardagi Pirinç  
1 Çorba Kasigi Salça  
Tuz","Kurutulmus taze fasulyeleri aksamdan suda bekletin. Tencereye 2 çorba 
kasigi margarini alin. Kizdiktan sonra yemeklik dogradiginiz sogani ilave 
edin. Pembelesmeye basladiginda kusbasi iriliginde dogranmis kuzu etini 
ilave edin.   
Eti, biraktigi suyu çekene dek kavurun. Süzdügünüz fasulyeleri, 
kabuklarini soyduktan sonra kusbasi iriliginde kestiginiz patatesleri, 
yikanmis ve suyu süzülmüs pirinci ilave edin. Üzerini örtecek kadar su 
ekleyin. Tuzunu ayarlayin. Su kaynadiktan sonra kisik ateste 40 dak. 
pisirip, servis yapin."
Gratine Patates,Türk,90dk,"Her Biri Yaklasik 200 gr 4 Adet Patates  
6 Çorba Kasigi Krema  
1 Yumurta Sarisi  
Tereyagi  
2 Çorba Kasigi Rendelenmis Gravyer Peyniri  
2 Çorba Kasigi Kiyilmis Maydanoz  
2 Çorba Kasigi Kiyilmis Taze Sogan  
Kiyilmis Ceviz","Iyice yikayip kuruladiginiz patatesleri 4 adet alüminyum folyoya sararak, 
önceden isittiginiz 200 derecelik firinda 45 dak. birakin. Pisip pismedigini 
sivri bir biçakla kontrol edebilirsiniz. Henüz sertse 5-10 dak. daha kalsinlar 
firinda.  

Çikardiktan sonra her bir patatesin üzerinden uzunluklari boyunca bir dilim 
kesin. Kapak gibi, içlerini oyun, elde ettiginiz bir çatalla ezin.  
Onu, 30 gr (2 çorba kasigi) tereyagi ve 4 çorba kasigi kremayla birlikte 
çirpin. Tuz, karabiber attiktan sonra taze sogan ve maydanozu ekleyin. 
Kiyilmis cevizi de ilave ettikten sonra bu karisimla patateslerin içini 
doldurun.  
Bir kapta kalan kremayi yumurta sarisi ve gravyerle karistirip patateslerin 
yüzeyine paylastirin. 
Yaglanmis bir tepsiye döseyin ve önceden isitilmis 200 derecelik firina 
verin. 10 dak. sonra çikarip servis yapabilirsiniz"
Güveçte Mantar,Türk,30dk,"1/2 Kg Mantar  
2 Adet Çarliston Biber  
2 Adet Küçük Boy Domates  
1 Dis Sarmisak  
1/2 Tatli Kasigi Salça  
3-4 Çorba Kasigi Sivi Yag  

1 Adet Orta Boy Sogan  
Tuz, Karabiber","Mantarlari kagit peçete ile silelim.Tavaya sivi yagi aktarip,piyazlik 
dogranmis sogani ve küçük küçük kesilmis bir dis sarmisagi hafifçe 
sararana dek kavuralim.Mantarlari ikiye veya dörde keselim.Mantarlari 
biraktiklari suyu çekene dek kavuralim.  
Çarliston biberlerin çekirdek yataklarini çikarip,küçük dograyalim.Tavaya 
aktaralim.Domatesi küp seklinde dograyip,ilave edelim.Bikaç kez 
çevirip,tuzunu ve karabiberini ayarlayalim.  
Atesten alip güveç kaplarina dolduralim.Orta isili firina sürelim.15 dk 
pisirerek servis yapalim."
Büyük Pizza,Süre: 40dk,40dk,"2 Su Bardagi Un  
1 Tatli Kasigi Kuru Maya  
30 gr Margarin  
1 Su Bardagi Süt  
1 Çorba Kasigi Sivi Yag  
1/2 Su Bardagi Domates Sosu  
2 Su Bardagi Rendelenmis Kasarpeyniri  
1 Adet Domates  
1 Su Bardagi Suyu Süzülmüs Misir  
1 Su Bardagi Ince Kiyilmis Jambon veya Salam","Firini 220 dereceye ayarlayin. Büyük bir firin tepsisini hazirlayin. Unu ve 
tuzu eleyin. Margarini küp küp kesip ilave edin. Bu arada mayayi, sekerli 
ilik suyun içinde eritip, bir süre kabarmasini bekledikten sonra karisima 
ilave edin.   
 
Yogurarak yagi hamura yedirin. Sütü ilave edin. Gerekirse yine süt 
ekleyerek yumusak bir hamur elde edene dek yogurun. Tepsinin üzerinde 
34 cm çapinda yuvarlak olusturacak sekilde açin. Hamurun üzerini 
zeytinyagiyla yaglayin. Daha sonra domates sosu sürün. Üzerine de 
domates dilimlerini yerlestirin. Misir ve jambon parçalarini serpistererek 
20-25 dakika kadar pisirin. Üçgen dilimlere ayirip, servis yapin."
Ikili Pizza,Süre: 60dk,60dk,"HAMUR MALZEMESI  
2 Su Bardagi Un  
1 Tatli Kasigi Kuru Maya  
30 gr Margarin  
1 Su Bardagi Süt  
1 Çorba Kasigi Sivi Yag  
 
KIYMALI MALZEME  
1 Patlican 
1 Kirmizi Dolmalik Biber  
3 Dis Sarmisak 
1 Arpacik Sogan  
250 gr Kiyma 
Tuz, Karabiber, Kirmizi Toz Biber  
6 Kahve Fincani Kasar Peyniri Rendesi  

2 Çorba Kasigi Siviyag 
 
HAWAI USULU  
1/2 Ananas 
3 Kereviz  
1 Çorba Kasigi Siviyag 
Tuz, Karabiber  
150 gr Haslanmis Tavuk Gögsü  
7 Kahve Fincani Kasar Peyniri Rendesi  
400 gr Küp Dogranmis Domates","Kiymali malzeme Için patlacani küçük küpler halinde dograyin. Tuzlu suda 
bekletin.  
Biberin çekirdeklerini ayiklayip ince dilimler halinde dograyin. Sarmisagi 
soyup kiyin. Arpacik soganini halkalar halinde dograyin.  
Patlicanin suyunu süzün. 1 çorba kasigi yagi kizdirip sogan ve sarmisagi 
kavurun. Kiymayi ekleyip iyice kavurun. Tuz, karabiber ve kirmizi toz 
biberle tatlandirin. Kalan yagi kizdirip patlacani kizartin.  
Hawai usulü malzeme için ananasi soyup ikiye bölün. Ananasi sekize 
bölün. Kerevizi dilimleyin. Yagi kizdirip kerevizi kavurun. Haslanmis tavuk 
gögsünü ikiye bölün.  

Küp dogranmis domatesi hamurun üzerine yayin. Kiymali karisimi 
hamurun yarisina yayin. Patlican ve biberi ekleyip rendelenmis peyniri 
serpin. Hamurun ikinci yarisina kasar peynirinin yarisini serpip tavuk 
gögsü, kereviz ve ananasi yerlestirin. Kalan kasar peynirini üzerine serpin.  
Firini 225 dereceye ayarlayip isitin. Pizzayi firinin alt bölmesinde 25 dakika 
pisirin"
